link_video,presenza_violenza,category
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037628/1037628-video-rrtv-1200-0112verticale_damasco.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037648/1037648-video-rrtv-1200-528214_large.mp4,0.0,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037695/1037695-video-rrtv-1200-0112verticale_sirene.mp4,0.0,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037734/1037734-video-rrtv-1200-011224_kennedy.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037773/1037773-video-rrtv-1200-011224_aleppo_drone.mp4,1.0,"['Morte, Ferite o Conflitti Militari']"
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037830/1037830-video-rrtv-1200-011224_scontri_georgia.mp4,1.0,"['Morte, Ferite o Conflitti Militari', 'Crimini e Atti Dannosi per gli Individui e la Società, Violazioni dei Diritti Umani']"
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037832/1037832-video-rrtv-1200-011224_residenza_assad.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/01/1037848/1037848-video-rrtv-1200-011224_residenza_assad_verticale.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/02/1037924/1037924-video-rrtv-1200-prodi.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2024/12/02/1037957/1037957-video-rrtv-1200-0212_siria_esplosione.mp4,1.0,"['Morte, Ferite o Conflitti Militari']"
https://media.gedidigital.it/repubblicatv/file/2024/12/02/1038018/1038018-video-rrtv-1200-2024_12_02t085718z_1_lov39970212.mp4,1.0,"['Morte, Ferite o Conflitti Militari']"
https://media.gedidigital.it/repubblicatv/file/2024/12/02/1038028/1038028-video-rrtv-1200-aleppo_siria_bombe.mp4,1.0,"['Morte, Ferite o Conflitti Militari']"
