link_video,presenza_violenza,category
https://media.gedidigital.it/repubblicatv/file/2025/05/13/1111307/1111307-video-rrtv-650-130525_spari_tripoli_ok.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1111153/1111153-video-rrtv-650-crocerossa_ostaggio_israele.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1111150/1111150-video-rrtv-650-v2_cantante_eurovision.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1111069/1111069-video-rrtv-650-s20250512161703000.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1111020/1111020-video-rrtv-650-1205violenza.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110924/1110924-video-rrtv-650-videopapaaiverticale.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110910/1110910-video-rrtv-650-videopapabattuta.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110899/1110899-video-rrtv-650-videopapamedia.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110874/1110874-video-rrtv-650-videostarmermigranti.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110840/1110840-video-rrtv-650-okokmacron.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110821/1110821-video-rrtv-650-2025_05_12t065006z_271723199_owa.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110811/1110811-video-rrtv-650-1205naziok.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/12/1110762/1110762-video-rrtv-650-videoverticalezeleputin.mp4,0.0,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/11/1110655/1110655-video-rrtv-650-110525_manoscritto_artu.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/11/1110621/1110621-video-rrtv-650-110525_papa_ucraina.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/11/1110596/1110596-video-rrtv-650-1105202513050113_2_.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/11/1110592/1110592-video-rrtv-650-20250511_visita_grotte_e_messa_d.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/11/1110580/1110580-video-rrtv-650-110525leonecanta.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/11/1110504/1110504-video-rrtv-650-110525indiapaki.mp4,0.0,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/10/1110375/1110375-video-rrtv-650-100525leonesalutq.mp4,,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/10/1110358/1110358-video-rrtv-650-100525papasmmok.mp4,0.0,[]
https://media.gedidigital.it/repubblicatv/file/2025/05/10/1110355/1110355-video-rrtv-650-100525leonefrancesco.mp4,,[]
