link_video,presenza_violenza,category
https://media.gedidigital.it/repubblicatv/file/2025/05/15/1112458/1112458-video-rrtv-650-videotajanirussia.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2007/10/24/14985/mafia241007.mp4,1,[]
https://media.gedidigital.it/repubblicatv/file/2007/11/16/15655/VELTRONISPALLATA.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2008/01/18/17392/rm180108.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2008/04/16/20397/RUTELLITIZIANA.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2008/11/26/27322/livini261108.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2009/08/04/35916/bolognesi040809.mp4,1,[]
https://media.gedidigital.it/repubblicatv/file/2009/08/25/36391/alemanno250809a.mp4,1,"['Crimini e Atti Dannosi per gli Individui e la Società, Violazioni dei Diritti Umani']"
https://media.gedidigital.it/repubblicatv/file/2010/04/07/44895/barnaba070410.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2010/04/29/46015/fini290410.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2010/06/02/47781/ballaro020610.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2010/09/04/51885/delise040910.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2011/10/13/76546/anconamaria20111310.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2013/07/11/142839/142839-video-rrtv-rnews_19_30_000.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2013/07/26/144726/144726-video-rrtv-polizia.mp4,1,"['Crimini e Atti Dannosi per gli Individui e la Società, Violazioni dei Diritti Umani', 'Morte, Ferite o Conflitti Militari', 'Armi e Munizioni']"
https://media.gedidigital.it/repubblicatv/file/2014/01/04/168565/168565-video-rrtv-maltempook.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2014/01/31/172786/172786-video-rrtv-electroluxalicata.mp4,0,[]
https://media.gedidigital.it/repubblicatv/file/2014/02/09/174363/174363-video-rrtv-cutri_il_blitz_e_durato_pochi_se.mp4,1,['Armi e Munizioni']
https://media.gedidigital.it/repubblicatv/file/2014/04/11/185297/185297-video-rrtv-previsioni_meteo_video_per_sabat.mp4,0,[]
